Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
BONA-8-Rh,Alnus viridis,3818362,2517938,65.94%,601928,15.76%,81974,2.15%,May-25
BONA-8-Ro,Alnus viridis,4917250,3524546,71.68%,1944502,39.54%,48392,0.98%,May-25
BONA-9-No,Alnus viridis,1634078,536652,32.84%,70534,4.32%,1022486,62.57%,May-25
BONA-9-Rh,Alnus viridis,337330,251512,74.56%,47024,13.94%,12784,3.79%,May-25
BONA-9-Ro,Alnus viridis,5507070,4454138,80.88%,1799002,32.67%,45678,0.83%,May-25
CLBJ-10-1-No,Desmodium sessifolium,5241026,3441626,65.67%,1717700,32.77%,1147346,21.89%,May-25
CLBJ-10-1-Rh,Desmodium sessifolium,4500376,2881736,64.03%,643708,14.30%,317438,7.05%,May-25
CLBJ-10-1-Ro,Desmodium sessifolium,9367496,3984868,42.54%,2434510,25.99%,5032,0.05%,May-25
CLBJ-11-1-No,Pediomelum rhombifolium,4531186,3223120,71.13%,2687856,59.32%,14844,0.33%,May-25
CLBJ-11-1-Rh,Pediomelum rhombifolium,787528,417412,53.00%,135158,17.16%,18108,2.30%,May-25
CLBJ-11-1-Ro,Pediomelum rhombifolium,15281188,13288134,86.96%,9361620,61.26%,84026,0.55%,May-25
CLBJ-1-1-No,Vicia sativa,3752280,2119634,56.49%,277272,7.39%,1090016,29.05%,May-25
CLBJ-1-1-Rh,Vicia sativa,28114,17260,61.39%,7864,27.97%,2652,9.43%,May-25
CLBJ-1-1-Ro,Vicia sativa,2233868,1601842,71.71%,691506,30.96%,7596,0.34%,May-25
CLBJ-12-2-No,Astragalus sp,47731722,23710320,49.67%,10534444,22.07%,65808,0.14%,May-25
CLBJ-12-2-Rh,Astragalus sp,2564776,1301568,50.75%,358644,13.98%,8644,0.34%,May-25
CLBJ-12-2-Ro,Astragalus sp,21620360,17405114,80.50%,7269408,33.62%,778528,3.60%,May-25
CLBJ-13-1-No,Lespedeza stuevei,6964732,4571454,65.64%,844604,12.13%,1814796,26.06%,May-25
CLBJ-13-1-Rh,Lespedeza stuevei,389778,202014,51.83%,85508,21.94%,9806,2.52%,May-25
CLBJ-13-1-Ro,Lespedeza stuevei,8256168,7390166,89.51%,1961334,23.76%,12054,0.15%,May-25
CLBJ-14-1-No,Strophostyles leiosperma,6213984,1813936,29.19%,308648,4.97%,3722602,59.91%,May-25
CLBJ-14-1-Rh,Strophostyles leiosperma,2507548,1649394,65.78%,271184,10.81%,101608,4.05%,May-25
CLBJ-14-1-Ro,Strophostyles leiosperma,2112826,1290140,61.06%,773128,36.59%,21774,1.03%,May-25
CLBJ-15-1-No,Lespedeza procumbens,10418356,5911064,56.74%,618794,5.94%,3908504,37.52%,May-25
CLBJ-15-1-Rh,Lespedeza procumbens,3254180,2053960,63.12%,405176,12.45%,145264,4.46%,May-25
CLBJ-15-1-Ro,Lespedeza procumbens,4364262,3364344,77.09%,2371358,54.34%,33626,0.77%,May-25
CLBJ-16-2-No,Lespedeza virginica,3742750,2139716,57.17%,540652,14.45%,1046766,27.97%,May-25
CLBJ-16-2-Rh,Lespedeza virginica,2738132,1834758,67.01%,447450,16.34%,107210,3.92%,May-25
CLBJ-16-2-Ro,Lespedeza virginica,27862140,24991682,89.70%,10423760,37.41%,103534,0.37%,May-25
CLBJ-17-1-No,Lespedeza stuevei,3287012,2186110,66.51%,354550,10.79%,669926,20.38%,May-25
CLBJ-17-1-Rh,Lespedeza stuevei,2242006,1406110,62.72%,389974,17.39%,79254,3.53%,May-25
CLBJ-17-1-Ro,Lespedeza stuevei,2139968,1517776,70.93%,1170520,54.70%,6932,0.32%,May-25
CLBJ-18-1-No,Tephrosia virginiana,3787248,1297530,34.26%,292084,7.71%,1799982,47.53%,May-25
CLBJ-18-1-Rh,Tephrosia virginiana,2427120,1661686,68.46%,338582,13.95%,44668,1.84%,May-25
CLBJ-18-1-Ro,Tephrosia virginiana,3621562,2888042,79.75%,647242,17.87%,6866,0.19%,May-25
CLBJ-19-1-No,Stylosanthes biflora,7415988,2439028,32.89%,650054,8.77%,3651904,49.24%,May-25
