Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
JERC-165-Rh,Lespedeza hirta,7015188,3594078,51.23%,942208,13.43%,415022,5.92%,May-25
JERC-165-Ro,Lespedeza hirta,7572686,6921992,91.41%,1214416,16.04%,27790,0.37%,May-25
JERC-167-No,Galactia volubilis,6722150,4245682,63.16%,1000504,14.88%,943400,14.03%,May-25
JERC-167-Rh,Galactia volubilis,357746,334368,93.47%,105226,29.41%,4578,1.28%,May-25
JERC-167-Ro,Galactia volubilis,5615010,4726030,84.17%,1499410,26.70%,21046,0.37%,May-25
JERC-168-No,Tephrosia spicata,9527950,7819798,82.07%,1885848,19.79%,573556,6.02%,May-25
JERC-168-Rh,Tephrosia spicata,4156820,2343058,56.37%,849524,20.44%,169762,4.08%,May-25
JERC-168-Ro,Tephrosia spicata,12822356,10032902,78.25%,2880994,22.47%,216076,1.69%,May-25
JERC-169-No,Clitoria mariana,7813436,3991642,51.09%,2771636,35.47%,2698124,34.53%,May-25
JERC-169-Rh,Clitoria mariana,2388768,1247216,52.21%,357924,14.98%,84962,3.56%,May-25
JERC-169-Ro,Clitoria mariana,7419524,5952154,80.22%,3923268,52.88%,29586,0.40%,May-25
JERC-170-No,Desmodium obtusum,7497280,5084050,67.81%,1898948,25.33%,1246740,16.63%,May-25
JERC-170-Rh,Desmodium obtusum,2040358,1207360,59.17%,539946,26.46%,20244,0.99%,May-25
JERC-170-Ro,Desmodium obtusum,4150742,1410800,33.99%,786930,18.96%,28696,0.69%,May-25
JERC-171-No,Desmodium veridiflorum,10086972,4210394,41.74%,1626732,16.13%,3111330,30.85%,May-25
JERC-171-Rh,Desmodium veridiflorum,8149746,6669622,81.84%,1818824,22.32%,39588,0.49%,May-25
JERC-171-Ro,Desmodium veridiflorum,13143022,10928940,83.15%,5897344,44.87%,53654,0.41%,May-25
JERC-172-2-No,Desmodium paniculatum,2047932,1370318,66.91%,398484,19.46%,119246,5.82%,May-25
JERC-172-2-Rh,Desmodium paniculatum,6447180,3778204,58.60%,1006310,15.61%,566334,8.78%,May-25
JERC-172-2-Ro,Desmodium paniculatum,9217622,6915542,75.03%,2931896,31.81%,433198,4.70%,May-25
JERC-173-1-No,Desmodium ciliare,8600768,3875410,45.06%,1959046,22.78%,2915076,33.89%,May-25
JERC-173-1-Rh,Desmodium ciliare,10954630,7285922,66.51%,3349246,30.57%,497528,4.54%,May-25
JERC-173-1-Ro,Desmodium ciliare,8538346,6891610,80.71%,3091466,36.21%,55226,0.65%,May-25
JERC-175-1-No,Desmodium ciliare,15219752,11049808,72.60%,6686300,43.93%,449584,2.95%,May-25
JERC-175-1-Rh,Desmodium ciliare,19642322,9670578,49.23%,3706818,18.87%,1043122,5.31%,May-25
JERC-175-1-Ro,Desmodium ciliare,5183342,4205620,81.14%,983306,18.97%,13210,0.25%,May-25
JERC-177-No,Desmodium floridanum,6988040,4024078,57.59%,2166084,31.00%,1249570,17.88%,May-25
JERC-177-Rh,Desmodium floridanum,9521132,4212904,44.25%,1559314,16.38%,456182,4.79%,May-25
JERC-177-Ro,Desmodium floridanum,6246362,4113306,65.85%,2069524,33.13%,204038,3.27%,May-25
JERC-178-2-No,Centrosema virginiana,12277884,7409010,60.34%,2574832,20.97%,708196,5.77%,May-25
JERC-178-2-Rh,Centrosema virginiana,10874382,7448148,68.49%,1954176,17.97%,530626,4.88%,May-25
JERC-178-2-Ro,Centrosema virginiana,16538908,13316830,80.52%,9782714,59.15%,37870,0.23%,May-25
JERC-18-2-No,Rhynchosia reniformis,6525546,3043582,46.64%,1593414,24.42%,6958,0.11%,May-25
JERC-18-2-Rh,Rhynchosia reniformis,57636420,17672374,30.66%,20254620,35.14%,624364,1.08%,May-25
JERC-18-2-Ro,Rhynchosia reniformis,6424148,3059090,47.62%,1557100,24.24%,6122,0.10%,May-25
JERC-189-1-Rh,Lespedeza hirta,5426090,2717426,50.08%,989298,18.23%,250590,4.62%,May-25
JERC-191-1-No,Centrosema virginiana,10833258,5546260,51.20%,2371418,21.89%,3533044,32.61%,May-25
JERC-191-1-Rh,Centrosema virginiana,9648482,7376454,76.45%,1790650,18.56%,572252,5.93%,May-25
JERC-191-1-Ro,Centrosema virginiana,26494818,22395318,84.53%,8252050,31.15%,111162,0.42%,May-25
JERC-197-1-Rh,Tephrosia floridanum,785260,375458,47.81%,123280,15.70%,34860,4.44%,May-25
JERC-198-Rh,Chamaecrista fasciculata,251286,121550,48.37%,74374,29.60%,8230,3.28%,May-25
JERC-20-1-No,Lespedeza hirta,8680744,2347424,27.04%,607616,7.00%,3810200,43.89%,May-25
JERC-20-1-Rh,Lespedeza hirta,35663070,10244198,28.72%,10113592,28.36%,369504,1.04%,May-25
JERC-20-1-Ro,Lespedeza hirta,10245890,5625158,54.90%,2332364,22.76%,12304,0.12%,May-25
JERC-2-1-No,Vicia sativa,8168440,4649438,56.92%,901656,11.04%,2224418,27.23%,May-25
JERC-2-1-Rh,Vicia sativa,4215278,2455394,58.25%,422412,10.02%,140204,3.33%,May-25
JERC-2-1-Ro,Vicia sativa,3485220,2602540,74.67%,1433752,41.14%,16598,0.48%,May-25
JERC-23-1-No,Rhynchosia reniformis,6241284,1928628,30.90%,1153428,18.48%,650808,10.43%,May-25
JERC-23-1-Rh,Rhynchosia reniformis,14520668,5867036,40.40%,3586562,24.70%,469078,3.23%,May-25
JERC-23-1-Ro,Rhynchosia reniformis,6440806,1498464,23.27%,1196664,18.58%,27882,0.43%,May-25
JERC-25-1-No,Desmodium lineatum,7159612,4103826,57.32%,756098,10.56%,2418178,33.78%,May-25
JERC-25-1-Rh,Desmodium lineatum,9031274,4727682,52.35%,1727438,19.13%,566658,6.27%,May-25
JERC-25-1-Ro,Desmodium lineatum,7554424,6250296,82.74%,2482232,32.86%,48658,0.64%,May-25
JERC-26-5-No,Centrosema virginiana,5373018,3681250,68.51%,1081716,20.13%,879974,16.38%,May-25
JERC-26-5-Rh,Centrosema virginiana,3451098,1886536,54.66%,452550,13.11%,118676,3.44%,May-25
JERC-26-5-Ro,Centrosema virginiana,13688740,9970170,72.83%,6819168,49.82%,130132,0.95%,May-25
JERC-27-2-No,Chamaecrista nictitans,2413548,1159526,48.04%,609882,25.27%,160320,6.64%,May-25
JERC-27-2-Rh,Chamaecrista nictitans,6286154,3526580,56.10%,1406402,22.37%,378598,6.02%,May-25
JERC-27-2-Ro,Chamaecrista nictitans,7338208,5570950,75.92%,2022732,27.56%,137850,1.88%,May-25
JERC-28-4-No,Lespedeza cf. stuevei,2568226,1069348,41.64%,403176,15.70%,253712,9.88%,May-25
JERC-28-4-Rh,Lespedeza cf. stuevei,767036,437916,57.09%,110382,14.39%,55900,7.29%,May-25
JERC-28-4-Ro,Lespedeza cf. stuevei,7636444,6157570,80.63%,3506350,45.92%,40866,0.54%,May-25
JERC-30-3-No,Chamaecrista nictitans,32746464,25051066,76.50%,4481124,13.68%,5216300,15.93%,May-25
JERC-30-3-Rh,Chamaecrista nictitans,771506,441302,57.20%,79438,10.30%,48512,6.29%,May-25
JERC-30-3-Ro,Chamaecrista nictitans,13024394,11412748,87.63%,4488200,34.46%,18352,0.14%,May-25
JERC-3-1-No,Vicia sativa,3142020,1886650,60.05%,535796,17.05%,602388,19.17%,May-25
JERC-3-1-Rh,Vicia sativa,22888338,5264668,23.00%,4477146,19.56%,78034,0.34%,May-25
JERC-3-1-Ro,Vicia sativa,4627370,3626482,78.37%,2012362,43.49%,14862,0.32%,May-25
JERC-34-4-No,Amorpha fruticosa,3430798,2081154,60.66%,537732,15.67%,387654,11.30%,May-25
JERC-34-4-Rh,Amorpha fruticosa,5280424,3852656,72.96%,789938,14.96%,122856,2.33%,May-25
JERC-34-4-Ro,Amorpha fruticosa,6662236,5596378,84.00%,1230658,18.47%,23596,0.35%,May-25
JERC-35-1-No,Baptisia sp.,7810972,2933202,37.55%,1270488,16.27%,3409976,43.66%,May-25
JERC-35-1-Rh,Baptisia sp.,5137208,2544096,49.52%,810080,15.77%,138764,2.70%,May-25
JERC-35-1-Ro,Baptisia sp.,4365580,3768588,86.33%,779590,17.86%,12138,0.28%,May-25
JERC-36-1-No,Galactia sp.,2082536,1605482,77.09%,490016,23.53%,11896,0.57%,May-25
JERC-36-1-Rh,Galactia sp.,16445300,13830852,84.10%,5850682,35.58%,222782,1.35%,May-25
JERC-36-1-Ro,Galactia sp.,2099560,1555986,74.11%,493638,23.51%,11926,0.57%,May-25
JERC-37-2-No,Centrosema virginiana,12251970,3110870,25.39%,1744444,14.24%,7673224,62.63%,May-25
JERC-37-2-Rh,Centrosema virginiana,6773826,4947942,73.05%,2770804,40.90%,321880,4.75%,May-25
JERC-37-2-Ro,Centrosema virginiana,13302468,9374766,70.47%,8863000,66.63%,124572,0.94%,May-25
JERC-38-2-No,Desmodium cf. floridanum,5671712,3319876,58.53%,940342,16.58%,1287290,22.70%,May-25
JERC-38-2-Rh,Desmodium cf. floridanum,4502544,3121896,69.34%,874234,19.42%,241592,5.37%,May-25
JERC-38-2-Ro,Desmodium cf. floridanum,11114982,9745084,87.68%,2715806,24.43%,85888,0.77%,May-25
JERC-39-5-No,Stylosanthes biflora,9963594,7617682,76.46%,1968058,19.75%,1148798,11.53%,May-25
JERC-39-5-Rh,Stylosanthes biflora,4911044,2203374,44.87%,456486,9.30%,394304,8.03%,May-25
JERC-39-5-Ro,Stylosanthes biflora,5922436,4913486,82.96%,2140958,36.15%,13638,0.23%,May-25
JERC-40-2-No,Centrosema virginiana,12593788,3821184,30.34%,1154986,9.17%,7067762,56.12%,May-25
JERC-40-2-Rh,Centrosema virginiana,3201104,1664808,52.01%,346180,10.81%,284580,8.89%,May-25
JERC-40-2-Ro,Centrosema virginiana,20973342,15796512,75.32%,14852902,70.82%,22372,0.11%,May-25
JERC-41-2-No,Indigofera hirsuta,12022902,3833508,31.89%,584440,4.86%,6644216,55.26%,May-25
JERC-41-2-Rh,Indigofera hirsuta,2639384,1250878,47.39%,363720,13.78%,135338,5.13%,May-25
JERC-41-2-Ro,Indigofera hirsuta,15894252,14752756,92.82%,4549228,28.62%,9868,0.06%,May-25
JERC-4-1-No,Vicia sativa,6906096,4050882,58.66%,1811302,26.23%,1271754,18.41%,May-25
JERC-4-1-Rh,Vicia sativa,5518202,3543704,64.22%,1922306,34.84%,58062,1.05%,May-25
JERC-42-1-No,Rhynchosia reniformis,6023012,3337000,55.40%,985734,16.37%,1528522,25.38%,May-25
JERC-42-1-Rh,Rhynchosia reniformis,5512400,3236362,58.71%,1276656,23.16%,355082,6.44%,May-25
JERC-42-1-Ro,Rhynchosia reniformis,6218780,5228010,84.07%,1877568,30.19%,15566,0.25%,May-25
JERC-43-1-No,Lespedeza cf. repens,5942662,2677064,45.05%,405114,6.82%,2345938,39.48%,May-25
JERC-43-1-Rh,Lespedeza cf. repens,5773520,3401296,58.91%,1583656,27.43%,229164,3.97%,May-25
JERC-43-1-Ro,Lespedeza cf. repens,10670260,9271496,86.89%,5085936,47.66%,14774,0.14%,May-25
JERC-44-2-No,Desmodium floridanum,14093936,12935922,91.78%,2203628,15.64%,16104,0.11%,May-25
JERC-44-2-Rh,Desmodium floridanum,1757192,1503394,85.56%,645748,36.75%,85222,4.85%,May-25
JERC-44-2-Ro,Desmodium floridanum,5868286,4451660,75.86%,2241558,38.20%,174188,2.97%,May-25
JERC-45-5-No,Stylosanthes biflora,6554720,2357880,35.97%,647690,9.88%,2828004,43.14%,May-25
JERC-45-5-Rh,Stylosanthes biflora,10572558,2621838,24.80%,1176984,11.13%,768650,7.27%,May-25
JERC-45-5-Ro,Stylosanthes biflora,11749620,9262524,78.83%,4503298,38.33%,27932,0.24%,May-25
JERC-46-1-Rh,Dalea carnea,3747546,2121734,56.62%,684924,18.28%,173038,4.62%,May-25
JERC-46-1-Ro,Dalea carnea,12191824,9748752,79.96%,4470600,36.67%,14082,0.12%,May-25
JERC-47-2-No,Indigofera hirsuta,9949750,5622160,56.51%,2276286,22.88%,760452,7.64%,May-25
JERC-47-2-Rh,Indigofera hirsuta,755108,286116,37.89%,106778,14.14%,120042,15.90%,May-25
JERC-47-2-Ro,Indigofera hirsuta,15146608,9829920,64.90%,3499182,23.10%,45178,0.30%,May-25
JERC-48-3-No,Crotalaria rotundifolia,10916472,3691676,33.82%,2558018,23.43%,1067560,9.78%,May-25
JERC-48-3-Rh,Crotalaria rotundifolia,9452128,3284234,34.75%,936180,9.90%,539658,5.71%,May-25
JERC-48-3-Ro,Crotalaria rotundifolia,12741308,6601690,51.81%,2800164,21.98%,19034,0.15%,May-25
JERC-49-2-Rh,Stylosanthes biflora,9088442,2541960,27.97%,1437816,15.82%,231694,2.55%,May-25
JERC-49-2-Ro,Stylosanthes biflora,2749154,556166,20.23%,304930,11.09%,30138,1.10%,May-25
JERC-50-5-No,Chamaecrista nictitans,8010360,2650976,33.09%,530148,6.62%,2502116,31.24%,May-25
JERC-50-5-Rh,Chamaecrista nictitans,6196378,2491350,40.21%,1044850,16.86%,666994,10.76%,May-25
JERC-50-5-Ro,Chamaecrista nictitans,13459628,7593494,56.42%,3020574,22.44%,2224602,16.53%,May-25
JERC-51-1-No,Galactia erecta,5451754,4840270,88.78%,839326,15.40%,15088,0.28%,May-25
JERC-51-1-Rh,Galactia erecta,9917966,4476464,45.13%,990312,9.99%,167906,1.69%,May-25
JERC-51-1-Ro,Galactia erecta,5045330,4433802,87.88%,937210,18.58%,10848,0.22%,May-25
JERC-53-5-No,Ceanothus americanus,14460910,5681508,39.29%,1264570,8.74%,8010382,55.39%,May-25
JERC-53-5-Rh,Ceanothus americanus,3902982,2837690,72.71%,1515704,38.83%,181964,4.66%,May-25
JERC-5-3-No,Vicia sativa,3912430,1915322,48.95%,344074,8.79%,1164280,29.76%,May-25
JERC-5-3-Rh,Vicia sativa,5627482,3563672,63.33%,2058486,36.58%,62638,1.11%,May-25
JERC-5-3-Ro,Vicia sativa,3742912,2909502,77.73%,1326152,35.43%,7832,0.21%,May-25
JERC-54-2-No,Orbexilum lupinellum,6376052,1500928,23.54%,1387134,21.76%,32456,0.51%,May-25
JERC-54-2-Rh,Orbexilum lupinellum,3846026,1956834,50.88%,402916,10.48%,165864,4.31%,May-25
JERC-54-2-Ro,Orbexilum lupinellum,8793040,3425702,38.96%,1375788,15.65%,43400,0.49%,May-25
JERC-6-3-No,Vicia sativa,8201736,4216750,51.41%,1935178,23.59%,345766,4.22%,May-25
JERC-6-3-Rh,Vicia sativa,8935564,2783506,31.15%,1628292,18.22%,149610,1.67%,May-25
JERC-7-2-No,Baptisia alba,3749500,1611690,42.98%,791158,21.10%,77274,2.06%,May-25
JERC-7-2-Rh,Baptisia alba,6294954,2287020,36.33%,1318400,20.94%,74880,1.19%,May-25
JERC-7-2-Ro,Baptisia alba,9302392,4458208,47.93%,2243120,24.11%,270476,2.91%,May-25
JERC-8-2-No,Ceanothus microphyllus,5031006,3522262,70.01%,2092572,41.59%,917862,18.24%,May-25
JERC-8-2-Rh,Ceanothus microphyllus,6815394,1880244,27.59%,1159932,17.02%,65956,0.97%,May-25
JERC-84-3-No,Desmodium floridanum,27740594,20522774,73.98%,12358682,44.55%,2675332,9.64%,May-25
JERC-84-3-Rh,Desmodium floridanum,11709746,7263148,62.03%,5904568,50.42%,234640,2.00%,May-25
JERC-84-3-Ro,Desmodium floridanum,26819816,19056094,71.05%,20671176,77.07%,25308,0.09%,May-25
JERC-85-2-No,Centrosema virginiana,7941214,1242978,15.65%,416708,5.25%,5747006,72.37%,May-25
JERC-85-2-Rh,Centrosema virginiana,4511790,2917960,64.67%,982074,21.77%,224078,4.97%,May-25
JERC-85-2-Ro,Centrosema virginiana,23183368,17958974,77.46%,14052272,60.61%,31926,0.14%,May-25
JERC-92-4-No,Desmodium cf. tortuosum,10805110,3277250,30.33%,628940,5.82%,6108136,56.53%,May-25
JERC-92-4-Rh,Desmodium cf. tortuosum,4498042,2826224,62.83%,1337004,29.72%,180248,4.01%,May-25
JERC-92-4-Ro,Desmodium cf. tortuosum,7168974,5277920,73.62%,1326870,18.51%,253892,3.54%,May-25
JERC-95-5-No,Crotalaria juncea,18846128,5553480,29.47%,1064006,5.65%,12430308,65.96%,May-25
JERC-95-5-Rh,Crotalaria juncea,11994062,7851634,65.46%,1233470,10.28%,824878,6.88%,May-25
JERC-95-5-Ro,Crotalaria juncea,14664310,13002198,88.67%,3932282,26.82%,39144,0.27%,May-25
JERC-96-2-No,Crotalaria juncea,4263370,802238,18.82%,184656,4.33%,2393200,56.13%,May-25
JERC-96-2-Rh,Crotalaria juncea,2498992,1424982,57.02%,404788,16.20%,131136,5.25%,May-25
JERC-96-2-Ro,Crotalaria juncea,6262328,3918012,62.56%,1355194,21.64%,1377062,21.99%,May-25
JERC-98-1-No,Lespedeza cuneata,2333622,1425796,61.10%,206768,8.86%,297900,12.77%,May-25
JERC-98-1-Rh,Lespedeza cuneata,12802652,4075962,31.84%,2351182,18.36%,314212,2.45%,May-25
JERC-98-1-Ro,Lespedeza cuneata,5320942,2547260,47.87%,902992,16.97%,220476,4.14%,May-25
JERC-98-2-No,Lespedeza cuneata,20833366,3559208,17.08%,6073710,29.15%,1060428,5.09%,May-25
JERC-98-2-Rh,Lespedeza cuneata,3968604,1990440,50.15%,666814,16.80%,159930,4.03%,May-25
JERC-98-2-Ro,Lespedeza cuneata,4268470,3078538,72.12%,1012944,23.73%,21710,0.51%,May-25
JERC-98-3-No,Lespedeza cuneata,6215922,3471410,55.85%,582514,9.37%,1927172,31.00%,May-25
JERC-98-3-Rh,Lespedeza cuneata,5470932,2640946,48.27%,798740,14.60%,235364,4.30%,May-25
JERC-98-3-Ro,Lespedeza cuneata,13293632,11099954,83.50%,3703040,27.86%,39676,0.30%,May-25
JERC-98-4-No,Lespedeza cuneata,6427752,3039006,47.28%,545496,8.49%,2299610,35.78%,May-25
JERC-98-4-Rh,Lespedeza cuneata,5526010,3131930,56.68%,763628,13.82%,308384,5.58%,May-25
JERC-98-4-Ro,Lespedeza cuneata,8775986,6859188,78.16%,1661240,18.93%,41844,0.48%,May-25
JERC-99-1-No,Lespedeza bicolor,6839246,4231934,61.88%,1228532,17.96%,1329476,19.44%,May-25
JERC-99-1-Rh,Lespedeza bicolor,6030930,1948956,32.32%,1370824,22.73%,169910,2.82%,May-25
JERC-99-1-Ro,Lespedeza bicolor,6168220,4881094,79.13%,1512892,24.53%,5310,0.09%,May-25
JERC-99-2-No,Lespedeza bicolor,6529808,2649546,40.58%,275616,4.22%,2604660,39.89%,May-25
JERC-99-2-Rh,Lespedeza bicolor,3034162,1600712,52.76%,515734,17.00%,127984,4.22%,May-25
JERC-99-2-Ro,Lespedeza bicolor,17522346,12833814,73.24%,6899078,39.37%,294864,1.68%,May-25
JERC-99-3-No,Lespedeza bicolor,7461708,1844716,24.72%,181604,2.43%,3891280,52.15%,May-25
JERC-99-3-Rh,Lespedeza bicolor,2261336,1225008,54.17%,285194,12.61%,140024,6.19%,May-25
JERC-99-3-Ro,Lespedeza bicolor,6302808,4894890,77.66%,2036580,32.31%,6966,0.11%,May-25
JERC-99-4-No,Lespedeza bicolor,3957812,1515398,38.29%,219404,5.54%,1665026,42.07%,May-25
JERC-99-4-Rh,Lespedeza bicolor,3623560,2306746,63.66%,339992,9.38%,308582,8.52%,May-25
JERC-99-4-Ro,Lespedeza bicolor,4083846,3167818,77.57%,1230324,30.13%,22146,0.54%,May-25
JERC-AMFR-56-1-No,Amorpha fruticosa,16593130,8382442,50.52%,1474512,8.89%,3056918,18.42%,May-25
JERC-AMFR-56-1-Rh,Amorpha fruticosa,6859706,3099278,45.18%,1177882,17.17%,323634,4.72%,May-25
JERC-AMFR-56-1-Ro,Amorpha fruticosa,32108210,22422662,69.83%,4809330,14.98%,521382,1.62%,May-25
JERC-AMFU-71-1-No,Amorpha fruticosa,10812830,6227190,57.59%,2053322,18.99%,3317486,30.68%,May-25
JERC-AMFU-71-1-Rh,Amorpha fruticosa,4211444,2085366,49.52%,533256,12.66%,772150,18.33%,May-25
JERC-AMFU-71-1-Ro,Amorpha fruticosa,5451480,4216250,77.34%,1905182,34.95%,499112,9.16%,May-25
JERC-CERE-67-1-No,Lespedeza repens,9983398,4969336,49.78%,1034106,10.36%,4314018,43.21%,May-25
JERC-CERE-67-1-Rh,Lespedeza repens,5156496,2735582,53.05%,607642,11.78%,1061764,20.59%,May-25
JERC-CERE-67-1-Ro,Lespedeza repens,25659476,22399814,87.30%,9589108,37.37%,907826,3.54%,May-25
JERC-CEVI-57-2-No,Centrosema virginiana,16182128,4751252,29.36%,2079182,12.85%,10319622,63.77%,May-25
JERC-CEVI-57-2-Rh,Centrosema virginiana,7259296,2930376,40.37%,891862,12.29%,180382,2.48%,May-25
JERC-CEVI-57-2-Ro,Centrosema virginiana,19111002,11680020,61.12%,9305952,48.69%,7000,0.04%,May-25
JERC-CEVI-80-2-No,Centrosema virginiana,22789866,15916662,69.84%,12790394,56.12%,1485974,6.52%,May-25
JERC-CEVI-80-2-Rh,Centrosema virginiana,3336986,1603664,48.06%,209870,6.29%,372728,11.17%,May-25
JERC-CEVI-80-2-Ro,Centrosema virginiana,7753786,4919074,63.44%,4931522,63.60%,199968,2.58%,May-25
JERC-CHNI-60-3-No,Chamaecrista nictitans,7947284,1892164,23.81%,589342,7.42%,4562322,57.41%,May-25
JERC-CHNI-60-3-Rh,Chamaecrista nictitans,836934,446006,53.29%,80432,9.61%,82204,9.82%,May-25
JERC-CHNI-69-4-No,Chamaecrista nictitans,10018190,3788618,37.82%,613624,6.13%,5802034,57.91%,May-25
JERC-CHNI-69-4-Rh,Chamaecrista nictitans,6093634,2928296,48.06%,793018,13.01%,1034400,16.98%,May-25
JERC-CHNI-69-4-Ro,Chamaecrista nictitans,6659070,4381002,65.79%,1429136,21.46%,822128,12.35%,May-25
JERC-CLMA-62-5-No,Clitoria mariana,6724088,3498054,52.02%,556402,8.27%,973980,14.48%,May-25
JERC-CLMA-62-5-Rh,Clitoria mariana,6770772,2830702,41.81%,1059876,15.65%,127674,1.89%,May-25
JERC-CLMA-62-5-Ro,Clitoria mariana,6575388,4689130,71.31%,1772844,26.96%,26728,0.41%,May-25
JERC-CLMA-73-2-No,Clitoria mariana,7719102,6173274,79.97%,3132644,40.58%,482332,6.25%,May-25
JERC-CLMA-73-2-Rh,Clitoria mariana,16973268,9710614,57.21%,3642298,21.46%,2680720,15.79%,May-25
JERC-CLMA-73-2-Ro,Clitoria mariana,27317760,20116770,73.64%,8467466,31.00%,2423276,8.87%,May-25
JERC-CLMA-76-2-No,Clitoria mariana,5599766,4300070,76.79%,1730490,30.90%,470114,8.40%,May-25
JERC-CLMA-76-2-Rh,Clitoria mariana,4835302,2044418,42.28%,460284,9.52%,590554,12.21%,May-25
JERC-CLMA-76-2-Ro,Clitoria mariana,4531128,2681748,59.18%,498188,10.99%,429398,9.48%,May-25
JERC-CLMA-83-1-No,Clitoria mariana,11844908,7125618,60.16%,6948128,58.66%,1072554,9.05%,May-25
JERC-CLMA-83-1-Rh,Clitoria mariana,6186706,3916854,63.31%,2666434,43.10%,111428,1.80%,May-25
JERC-CLMA-83-1-Ro,Clitoria mariana,9439212,6427322,68.09%,6093704,64.56%,5322,0.06%,May-25
JERC-CRRO-64-1-No,Crotalaria rotundifolia,5254920,2393388,45.55%,680044,12.94%,1076402,20.48%,May-25
JERC-CRRO-64-1-Rh,Crotalaria rotundifolia,8006276,3136744,39.18%,992232,12.39%,820018,10.24%,May-25
JERC-CRRO-64-1-Ro,Crotalaria rotundifolia,5190868,2692432,51.87%,422516,8.14%,870576,16.77%,May-25
JERC-CRRO-70-1-No,Crotalaria rotundifolia,25762532,6750872,26.20%,5578460,21.65%,1637600,6.36%,May-25
JERC-CRRO-70-1-Rh,Crotalaria rotundifolia,8096064,3634486,44.89%,1365824,16.87%,914738,11.30%,May-25
JERC-CRRO-70-1-Ro,Crotalaria rotundifolia,10290800,8556614,83.15%,2508274,24.37%,198878,1.93%,May-25
JERC-DEFL-31-5-No,Desmodium cf. floridanum,9718430,3601344,37.06%,338222,3.48%,4440554,45.69%,May-25
JERC-DEFL-31-5-Rh,Desmodium cf. floridanum,6470794,2583654,39.93%,777366,12.01%,550588,8.51%,May-25
JERC-DEFL-31-5-Ro,Desmodium cf. floridanum,2094198,1557424,74.37%,772536,36.89%,43680,2.09%,May-25
JERC-DEFL-61-3-No,Desmodium floridanum,13754882,3465546,25.20%,753022,5.47%,8889220,64.63%,May-25
JERC-DEFL-61-3-Rh,Desmodium floridanum,5791440,1850402,31.95%,700624,12.10%,85394,1.47%,May-25
JERC-DEFL-61-3-Ro,Desmodium floridanum,5191726,2404946,46.32%,1389960,26.77%,18930,0.36%,May-25
JERC-DEFL-75-2-No,Desmodium floridanum,6818616,1427806,20.94%,167502,2.46%,3785234,55.51%,May-25
JERC-DEFL-75-2-Rh,Desmodium floridanum,3990012,2078426,52.09%,183868,4.61%,507948,12.73%,May-25
JERC-DEFL-75-2-Ro,Desmodium floridanum,7104192,5658288,79.65%,2101694,29.58%,124792,1.76%,May-25
JERC-DEFL-75-3-No,Desmodium floridanum,9609634,5002100,52.05%,1066342,11.10%,3579526,37.25%,May-25
JERC-DEFL-75-3-Rh,Desmodium floridanum,4121806,2156840,52.33%,366200,8.88%,474556,11.51%,May-25
JERC-DEFL-75-3-Ro,Desmodium floridanum,6111784,4485504,73.39%,1184898,19.39%,262128,4.29%,May-25
JERC-DELI-77-2-No,Desmodium lineatum,3975330,2550094,64.15%,953882,24.00%,390582,9.83%,May-25
JERC-DELI-77-2-Rh,Desmodium lineatum,2869044,1356486,47.28%,120946,4.22%,378872,13.21%,May-25
JERC-DELI-77-2-Ro,Desmodium lineatum,6111760,4482136,73.34%,1997008,32.67%,215626,3.53%,May-25
JERC-DESM-74-1-No,Desmodium sp,5881128,2289908,38.94%,698792,11.88%,1207300,20.53%,May-25
JERC-DESM-74-1-Rh,Desmodium sp,6223892,2805386,45.07%,733378,11.78%,1144106,18.38%,May-25
JERC-DESM-74-1-Ro,Desmodium sp,1802852,1475450,81.84%,683730,37.92%,67366,3.74%,May-25
JERC-DEST-32-1-No,Desmodium cf. strictum,6749668,2531158,37.50%,405540,6.01%,2131594,31.58%,May-25
JERC-DEST-32-1-Rh,Desmodium cf. strictum,5250988,2886954,54.98%,388728,7.40%,781752,14.89%,May-25
JERC-DEST-32-1-Ro,Desmodium cf. strictum,5546932,2069714,37.31%,428882,7.73%,430062,7.75%,May-25
JERC-DEST-65-5-No,Desmodium strictum,4655034,2710852,58.23%,1035634,22.25%,676154,14.53%,May-25
JERC-DEST-65-5-Rh,Desmodium strictum,8785922,5812710,66.16%,1533368,17.45%,698520,7.95%,May-25
JERC-DEST-65-5-Ro,Desmodium strictum,17013044,14888480,87.51%,4361566,25.64%,161622,0.95%,May-25
JERC-DEST-68-4-No,Desmodium strictum,8827032,2444312,27.69%,215046,2.44%,4629130,52.44%,May-25
JERC-DEST-68-4-Rh,Desmodium strictum,5218120,2943210,56.40%,870004,16.67%,586588,11.24%,May-25
JERC-DEST-68-4-Ro,Desmodium strictum,6770626,3333388,49.23%,884874,13.07%,1280974,18.92%,May-25
JERC-GAVO-33-1-No,Galactia volubilis,34681432,27136196,78.24%,4614332,13.30%,4443494,12.81%,May-25
JERC-GAVO-33-1-Rh,Galactia volubilis,7814080,3870374,49.53%,875456,11.20%,1076522,13.78%,May-25
JERC-GAVO-33-1-Ro,Galactia volubilis,423778,239148,56.43%,41068,9.69%,73760,17.41%,May-25
JERC-LEHI-82-3-No,Lespedeza hirta,2787312,1856802,66.62%,772432,27.71%,118796,4.26%,May-25
